player_name_raw,season,league,team,age,games,games_started,minutes,field_goals,field_goal_attempts,fg_pct,three_pointers,three_point_attempts,three_pct,two_pointers,two_point_attempts,two_pct,efg_pct,free_throws,free_throw_attempts,ft_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,source,official_stats_url,accessed_date
Abdullah Ahmed,2023-2024,NBA G League,WES,20,21,4,426,48,99,.485,4,13,.308,44,86,.512,.505,14,27,.519,50,94,144,9,5,26,27,56,121,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
James Akinjo,2023-2024,NBA G League,TOT,,18,2,383,61,128,.477,29,53,.547,32,75,.427,.590,7,13,.538,2,41,43,73,21,0,32,35,163,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Warith Alatishe,2023-2024,NBA G League,TOT,24,27,6,488,78,111,.703,2,4,.500,76,107,.710,.712,4,10,.400,54,78,132,32,30,25,21,55,164,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Josh Alexander,2023-2024,NBA G League,MCC,23,7,0,108,7,19,.368,1,6,.167,6,13,.462,.395,1,2,.500,12,22,34,3,1,4,4,23,16,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Angelo Allegri,2023-2024,NBA G League,GBO,24,20,3,249,26,77,.338,12,42,.286,14,35,.400,.416,7,9,.778,12,41,53,8,7,1,10,10,78,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Timmy Allen,2023-2024,NBA G League,MHU,24,30,15,830,110,262,.420,23,67,.343,87,195,.446,.464,31,38,.816,25,77,102,68,31,4,56,66,297,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Izan Almansa,2023-2024,NBA G League,GLI,18,32,30,883,145,259,.560,5,25,.200,140,234,.598,.569,43,70,.614,87,143,230,37,22,14,28,53,374,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Yor Anei,2023-2024,NBA G League,TOT,24,9,1,117,13,30,.433,1,4,.250,12,26,.462,.450,6,8,.750,14,20,34,4,5,12,5,24,38,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Ike Anigbogu,2023-2024,NBA G League,BIR,25,9,0,124,16,32,.500,2,3,.667,14,29,.483,.531,2,7,.286,22,29,51,2,2,13,11,16,38,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Alex Antetokounmpo,2023-2024,NBA G League,WIS,22,18,0,382,33,103,.320,10,51,.196,23,52,.442,.369,15,21,.714,14,38,52,12,6,7,22,42,103,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
