rank,player_name_raw,player_name_key,recommendation_season,league,team,source,source_id,model_setup,score,reason_summary,games,minutes,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,points_per_36,usage_proxy,ts_pct,efg_pct,fg_pct,three_pct,ft_pct,field_goal_attempts,three_point_attempts,free_throw_attempts,data_completeness_score,has_prior_cba_experience_before_t,prior_cba_seasons_before_t,prior_cba_last_seen_gap,has_previous_season_record,points_per_36_trend,usage_proxy_trend,ts_pct_trend,minutes_per_game_trend,height,weight,age,birth_year,birth_date,biodata_source,biodata_notes,position,country,last_affiliation,age_at_recommendation_season,official_player_url,official_stats_url,official_search_url,nba_stats_url,euroleague_profile_or_search_url,league_official_search_url,video_search_query,youtube_search_url,google_video_search_url,youtube_highlight_search_url,cba_video_search_query,is_current_recommendation_season,export_scope,input_dataset_used,season,source_id_playerseason,league_playerseason,nba_player_id,birthdate,school,season_exp,rosterstatus,biodata_match_confidence,biodata_match_method,cache_status,cached_at
1,Terrence Shannon Jr.,terrenceshannon,2024-2025,G League,IWA,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.6742906769884196,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,34.7,,,,,,,41.4985590778098,0.831700288184438,0.821,,,,,,,,1.0,0,0,,0,,,,,6-6,215.0,,,,nba_api,,Guard-Forward,USA,Illinois/USA,24,https://www.nba.com/stats/player/1630545,https://www.nba.com/stats/player/1630545,https://www.google.com/search?q=%22Terrence+Shannon+Jr.%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1630545,,https://www.google.com/search?q=%22Terrence+Shannon+Jr.%22+%22G+League%22+official+basketball+stats,Terrence Shannon Jr. G League basketball highlights,https://www.youtube.com/results?search_query=Terrence+Shannon+Jr.+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Terrence+Shannon+Jr.+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Terrence+Shannon+Jr.+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2024-2025,gleague_nba_api,G League,1630545.0,2000-07-30T00:00:00,Illinois,1.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:49.190864+00:00
2,Jalen Hood-Schifino,jalenhoodschifino,2024-2025,G League,DEL,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.643959532700264,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,25.3,,,,,,,38.418972332015805,0.8872727272727271,0.696,,,,,,,,1.0,0,0,,1,16.0460909760836,0.3225269645608627,0.0429999999999999,-10.099999999999998,6-5,210.0,,,,nba_api,,Guard,USA,Indiana/USA,21,https://www.nba.com/stats/player/1641720,https://www.nba.com/stats/player/1641720,https://www.google.com/search?q=%22Jalen+Hood-Schifino%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1641720,,https://www.google.com/search?q=%22Jalen+Hood-Schifino%22+%22G+League%22+official+basketball+stats,Jalen Hood-Schifino G League basketball highlights,https://www.youtube.com/results?search_query=Jalen+Hood-Schifino+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Jalen+Hood-Schifino+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Jalen+Hood-Schifino+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2023-2024,gleague_nba_api,G League,1641720.0,2003-06-19T00:00:00,Indiana,3.0,Inactive,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:50.516057+00:00
3,Adam Flagler,adamflagler,2024-2025,G League,OKL,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.6410121894851295,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,28.3,,,,,,,39.43462897526503,0.7731448763250883,0.742,,,,,,,,1.0,0,0,,1,19.76021037061387,0.2767107677979566,0.149,2.5,6-3,180.0,,,,nba_api,,Guard,USA,Baylor/USA,24,https://www.nba.com/stats/player/1641745,https://www.nba.com/stats/player/1641745,https://www.google.com/search?q=%22Adam+Flagler%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1641745,,https://www.google.com/search?q=%22Adam+Flagler%22+%22G+League%22+official+basketball+stats,Adam Flagler G League basketball highlights,https://www.youtube.com/results?search_query=Adam+Flagler+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Adam+Flagler+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Adam+Flagler+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2023-2024,gleague_nba_api,G League,1641745.0,1999-12-01T00:00:00,Baylor,3.0,Inactive,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:51.384281+00:00
4,Isaiah Thomas,isaiahthomas,2024-2025,G League,SLC,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.5572913484043935,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,30.8,,,,,,,34.01298701298701,0.8075324675324677,0.653,,,,,,,,1.0,0,0,,1,2.30566993981628,0.0834132263400556,-0.026,-6.099999999999998,5-9,185.0,,,,nba_api,,Guard,USA,Washington/USA,35,https://www.nba.com/stats/player/202738,https://www.nba.com/stats/player/202738,https://www.google.com/search?q=%22Isaiah+Thomas%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/202738,,https://www.google.com/search?q=%22Isaiah+Thomas%22+%22G+League%22+official+basketball+stats,Isaiah Thomas G League basketball highlights,https://www.youtube.com/results?search_query=Isaiah+Thomas+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Isaiah+Thomas+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Isaiah+Thomas+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2021-2022,gleague_nba_api,G League,202738.0,1989-02-07T00:00:00,Washington,13.0,Inactive,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:52.234350+00:00
5,Ricky Council IV,rickycouncil,2024-2025,G League,DEL,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.506738211406185,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,37.6,,,,,,,33.03191489361702,0.7409574468085106,0.667,,,,,,,,1.0,0,0,,1,7.04441489361702,0.0947074468085106,0.05,5.600000000000001,6-6,207.0,,,,nba_api,,Guard,USA,Arkansas/USA,23,https://www.nba.com/stats/player/1641741,https://www.nba.com/stats/player/1641741,https://www.google.com/search?q=%22Ricky+Council+IV%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1641741,,https://www.google.com/search?q=%22Ricky+Council+IV%22+%22G+League%22+official+basketball+stats,Ricky Council IV G League basketball highlights,https://www.youtube.com/results?search_query=Ricky+Council+IV+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Ricky+Council+IV+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Ricky+Council+IV+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2023-2024,gleague_nba_api,G League,1641741.0,2001-08-03T00:00:00,Arkansas,3.0,Inactive,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:53.088270+00:00
6,Elijah Harkless,elijahharkless,2024-2025,G League,SLC,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.493781986139005,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,31.4,,,,,,,30.840764331210195,0.7321019108280253,0.653,,,,,,,,1.0,0,0,,1,12.362888225015508,0.2536948311820076,0.0160000000000001,8.799999999999997,6-3,195.0,,,,nba_api,,Guard,USA,UNLV/USA,24,https://www.nba.com/stats/player/1641989,https://www.nba.com/stats/player/1641989,https://www.google.com/search?q=%22Elijah+Harkless%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1641989,,https://www.google.com/search?q=%22Elijah+Harkless%22+%22G+League%22+official+basketball+stats,Elijah Harkless G League basketball highlights,https://www.youtube.com/results?search_query=Elijah+Harkless+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Elijah+Harkless+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Elijah+Harkless+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2023-2024,gleague_nba_api,G League,1641989.0,2000-02-03T00:00:00,UNLV,1.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:53.920107+00:00
7,Reed Sheppard,reedsheppard,2024-2025,G League,RGV,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.479818769830788,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,35.5,,,,,,,31.132394366197182,0.7414084507042253,0.639,,,,,,,,1.0,0,0,,0,,,,,6-2,185.0,,,,nba_api,,Guard,USA,Kentucky/USA,20,https://www.nba.com/stats/player/1642263,https://www.nba.com/stats/player/1642263,https://www.google.com/search?q=%22Reed+Sheppard%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1642263,,https://www.google.com/search?q=%22Reed+Sheppard%22+%22G+League%22+official+basketball+stats,Reed Sheppard G League basketball highlights,https://www.youtube.com/results?search_query=Reed+Sheppard+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Reed+Sheppard+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Reed+Sheppard+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2024-2025,gleague_nba_api,G League,1642263.0,2004-06-24T00:00:00,Kentucky,1.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:54.850686+00:00
8,Bryce McGowens,brycemcgowens,2024-2025,G League,RCR,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.4738942613278818,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,34.6,,,,,,,29.965317919075147,0.7239306358381503,0.653,,,,,,,,1.0,0,0,,1,5.8521103719053365,0.1044337804922383,0.053,2.8000000000000007,6-6,190.0,,,,nba_api,,Guard,USA,Nebraska/USA,21,https://www.nba.com/stats/player/1631121,https://www.nba.com/stats/player/1631121,https://www.google.com/search?q=%22Bryce+McGowens%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1631121,,https://www.google.com/search?q=%22Bryce+McGowens%22+%22G+League%22+official+basketball+stats,Bryce McGowens G League basketball highlights,https://www.youtube.com/results?search_query=Bryce+McGowens+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Bryce+McGowens+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Bryce+McGowens+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2022-2023,gleague_nba_api,G League,1631121.0,2002-11-08T00:00:00,Nebraska,3.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:55.742007+00:00
9,Cody Williams,codywilliams,2024-2025,G League,SLC,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.4729358560557624,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,33.2,,,,,,,30.903614457831324,0.739156626506024,0.662,,,,,,,,1.0,0,0,,0,,,,,6-8,190.0,,,,nba_api,,Forward,USA,Colorado/USA,19,https://www.nba.com/stats/player/1642262,https://www.nba.com/stats/player/1642262,https://www.google.com/search?q=%22Cody+Williams%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1642262,,https://www.google.com/search?q=%22Cody+Williams%22+%22G+League%22+official+basketball+stats,Cody Williams G League basketball highlights,https://www.youtube.com/results?search_query=Cody+Williams+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Cody+Williams+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Cody+Williams+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2024-2025,gleague_nba_api,G League,1642262.0,2004-11-20T00:00:00,Colorado,1.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:56.578787+00:00
10,Jabari Walker,jabariwalker,2024-2025,G League,RCR,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.4686923711282938,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,29.2,,,,,,,32.054794520547944,0.6575342465753424,0.802,,,,,,,,1.0,0,0,,0,,,,,6-7,237.0,,,,nba_api,,Forward,USA,Colorado/USA,22,https://www.nba.com/stats/player/1631133,https://www.nba.com/stats/player/1631133,https://www.google.com/search?q=%22Jabari+Walker%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1631133,,https://www.google.com/search?q=%22Jabari+Walker%22+%22G+League%22+official+basketball+stats,Jabari Walker G League basketball highlights,https://www.youtube.com/results?search_query=Jabari+Walker+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Jabari+Walker+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Jabari+Walker+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2024-2025,gleague_nba_api,G League,1631133.0,2002-07-30T00:00:00,Colorado,3.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:57.489454+00:00
