new_rank,player_name_raw,player_name_key,season,league,team,source,recommendation_score,score_component_pathway,score_component_performance,score_component_context,score_component_completeness,reason_summary,games,minutes_per_game,points_per_36,usage_proxy,ts_pct,fg_pct,three_pct,ft_pct,height,weight,age,official_player_url,official_stats_url,youtube_search_url,google_video_search_url,video_search_query,data_quality_warning,basketball_reference_search_url,league_official_search_url,rank,score,recommendation_season
1,Javon Small,javonsmall,2025-2026,G League,MHU,pasted_stats_table,2.3647491173275395,1.0,0.5473298026434908,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,2,12.0,40.5,1.471666666666667,0.4452506596306069,0.345,0.357,0.667,,,23.0,,,https://www.youtube.com/results?search_query=Javon+Small+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Javon+Small+G+League+basketball+highlights,Javon Small G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Javon+Small%22+basketball,https://www.google.com/search?q=%22Javon+Small%22+%22G+League%22+official+basketball+stats,1,2.3647491173275395,2025-2026
2,Terrence Shannon Jr.,terrenceshannon,2025-2026,G League,IWA,pasted_stats_table,2.302112657673969,1.0,0.820561741806989,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,2,20.5,41.3,0.883888888888889,0.7530999270605396,0.538,0.273,0.833,,,25.0,,,https://www.youtube.com/results?search_query=Terrence+Shannon+Jr.+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Terrence+Shannon+Jr.+G+League+basketball+highlights,Terrence Shannon Jr. G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Terrence+Shannon+Jr.%22+basketball,https://www.google.com/search?q=%22Terrence+Shannon+Jr.%22+%22G+League%22+official+basketball+stats,2,2.302112657673969,2025-2026
3,Tyrese Proctor,tyreseproctor,2025-2026,G League,CLC,pasted_stats_table,2.2455402558995714,1.0,0.8626054680427304,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,1,27.0,38.7,0.8235555555555556,0.71804957696304,0.556,0.4,0.8,,,,,,https://www.youtube.com/results?search_query=Tyrese+Proctor+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Tyrese+Proctor+G+League+basketball+highlights,Tyrese Proctor G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Tyrese+Proctor%22+basketball,https://www.google.com/search?q=%22Tyrese+Proctor%22+%22G+League%22+official+basketball+stats,3,2.2455402558995714,2025-2026
4,Elijah Harkless,elijahharkless,2025-2026,G League,SLC,pasted_stats_table,2.2169247087935298,1.0,0.8369210573963426,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,5,25.2,36.9,0.8787777777777779,0.69008078994614,0.47,0.323,0.958,,,25.0,,,https://www.youtube.com/results?search_query=Elijah+Harkless+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Elijah+Harkless+G+League+basketball+highlights,Elijah Harkless G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Elijah+Harkless%22+basketball,https://www.google.com/search?q=%22Elijah+Harkless%22+%22G+League%22+official+basketball+stats,4,2.2169247087935298,2025-2026
5,Jamaree Bouyea,jamareebouyea,2025-2026,G League,VAL,pasted_stats_table,2.2075422702033918,1.0,0.8519468585913453,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,1,25.0,38.9,0.6662222222222222,0.922500474293303,0.75,0.5,1.0,,,,,,https://www.youtube.com/results?search_query=Jamaree+Bouyea+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Jamaree+Bouyea+G+League+basketball+highlights,Jamaree Bouyea G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Jamaree+Bouyea%22+basketball,https://www.google.com/search?q=%22Jamaree+Bouyea%22+%22G+League%22+official+basketball+stats,5,2.2075422702033918,2025-2026
6,Will Riley,willriley,2025-2026,G League,CCG,pasted_stats_table,2.114363200857022,1.0,0.8232305812058662,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,2,31.0,32.5,0.8342222222222222,0.6124679632142319,0.444,0.182,0.818,,,19.0,,,https://www.youtube.com/results?search_query=Will+Riley+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Will+Riley+G+League+basketball+highlights,Will Riley G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Will+Riley%22+basketball,https://www.google.com/search?q=%22Will+Riley%22+%22G+League%22+official+basketball+stats,6,2.114363200857022,2025-2026
7,Mac McClung,macmcclung,2025-2026,G League,WCB,pasted_stats_table,2.1072177862272916,1.0,0.9543155893536122,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,29,36.10344827586207,31.7,0.7385555555555556,0.6894901687837133,0.515,0.381,0.775,,,27.0,,,https://www.youtube.com/results?search_query=Mac+McClung+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Mac+McClung+G+League+basketball+highlights,Mac McClung G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Mac+McClung%22+basketball,https://www.google.com/search?q=%22Mac+McClung%22+%22G+League%22+official+basketball+stats,7,2.1072177862272916,2025-2026
8,Julian Phillips,julianphillips,2025-2026,G League,IWA,pasted_stats_table,2.0631859119439917,1.0,0.8102992033315227,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,2,34.5,30.3,0.8184444444444445,0.5746472462448794,0.542,0.308,0.167,,,,,,https://www.youtube.com/results?search_query=Julian+Phillips+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Julian+Phillips+G+League+basketball+highlights,Julian Phillips G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Julian+Phillips%22+basketball,https://www.google.com/search?q=%22Julian+Phillips%22+%22G+League%22+official+basketball+stats,8,2.0631859119439917,2025-2026
9,Malaki Branham,malakibranham,2025-2026,G League,CLC,pasted_stats_table,2.0509212912668233,1.0,0.7895740539561832,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,7,23.571428571428573,31.0,0.7341111111111112,0.6560013543253767,0.525,0.364,0.882,,,22.0,,,https://www.youtube.com/results?search_query=Malaki+Branham+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Malaki+Branham+G+League+basketball+highlights,Malaki Branham G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Malaki+Branham%22+basketball,https://www.google.com/search?q=%22Malaki+Branham%22+%22G+League%22+official+basketball+stats,9,2.0509212912668233,2025-2026
10,Orlando Robinson,orlandorobinson,2025-2026,G League,MHU,pasted_stats_table,2.0399841948820083,1.0,0.9360478906391454,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,10,34.1,29.7,0.6478888888888888,0.7379248658318426,0.602,0.435,0.776,,,,,,https://www.youtube.com/results?search_query=Orlando+Robinson+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Orlando+Robinson+G+League+basketball+highlights,Orlando Robinson G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Orlando+Robinson%22+basketball,https://www.google.com/search?q=%22Orlando+Robinson%22+%22G+League%22+official+basketball+stats,10,2.0399841948820083,2025-2026
